Project,Description,Supervisor,Skills,Lang
"Image classification using deep convolutional neural networks  
(Group Project - 3 of 4)","Due to the high availability of large-scale annotated image datasets, great progress has been made in deep convolutional neural networks (CNNs) for several image classification tasks. However, the availability of annotated data, especially in the medical imaging domain, remains the biggest challenge in the field. Motivated by this challenging problem, we have previously developed a novel CNN architecture, we called Decompose, Transfer, and Compose (DeTraC) approach based on class decomposition to improve the performance of medical image classification.   

DeTraC has been validated with histological images of human colorectal cancer, chest X-ray images, and mammogram images (see https://ieeexplore.ieee.org/document/9075155). DeTraC has been also adopted for COVID-19 detection from real chest X-ray images (see https://link.springer.com/article/10.1007/s10489-020-01829-7). You will have the opportunity to use DeTraC to cope with an image dataset of your choice (with any application ranging from remote sensing to biomedical imaging).  
 Note: A total number of 4 students can work in this project (STRONG experience in Python is required and you should be willing to learn about deep learning). ",11,,
"Image classification using deep convolutional neural networks  
(Group Project - 4 of 4)","Due to the high availability of large-scale annotated image datasets, great progress has been made in deep convolutional neural networks (CNNs) for several image classification tasks. However, the availability of annotated data, especially in the medical imaging domain, remains the biggest challenge in the field. Motivated by this challenging problem, we have previously developed a novel CNN architecture, we called Decompose, Transfer, and Compose (DeTraC) approach based on class decomposition to improve the performance of medical image classification.   

DeTraC has been validated with histological images of human colorectal cancer, chest X-ray images, and mammogram images (see https://ieeexplore.ieee.org/document/9075155). DeTraC has been also adopted for COVID-19 detection from real chest X-ray images (see https://link.springer.com/article/10.1007/s10489-020-01829-7). You will have the opportunity to use DeTraC to cope with an image dataset of your choice (with any application ranging from remote sensing to biomedical imaging).  
 Note: A total number of 4 students can work in this project (STRONG experience in Python is required and you should be willing to learn about deep learning). ",11,,
2D/3D image segmentation using active contours (Group Project - 1 of 2),"One of the most popular image segmentation methods is active contour. Active Contour Models (ACMs) constitute a powerful energy-based minimization framework for image segmentation, based on the evolution of an active contour.  

We previously proposed a novel active contour model based on a new Signed Pressure Force (SPF) function which we termed Globally Signed Region Pressure Force (GSRPF) (see https://www.youtube.com/watch?v=oEQPpjRzr3s). Experimental results on several synthetic and real 2D grey-scale images demonstrate the high accuracy of the segmentation results (see https://ieeexplore.ieee.org/abstract/document/6622691). In this project, we aim to extend GSRPF to cope with 3D images with the presence of some computer vision problems (such as noise, artifacts, illumination variations, etc.). 
 Note: STRONG experience in Python is required and you should be willing to learn image processing. ",11,,
2D/3D image segmentation using active contours (Group Project - 2 of 2),"One of the most popular image segmentation methods is active contour. Active Contour Models (ACMs) constitute a powerful energy-based minimization framework for image segmentation, based on the evolution of an active contour.  

We previously proposed a novel active contour model based on a new Signed Pressure Force (SPF) function which we termed Globally Signed Region Pressure Force (GSRPF) (see https://www.youtube.com/watch?v=oEQPpjRzr3s). Experimental results on several synthetic and real 2D grey-scale images demonstrate the high accuracy of the segmentation results (see https://ieeexplore.ieee.org/abstract/document/6622691). In this project, we aim to extend GSRPF to cope with 3D images with the presence of some computer vision problems (such as noise, artifacts, illumination variations, etc.). 
 Note: STRONG experience in Python is required and you should be willing to learn image processing. ",11,,
Student Proposal,"NTP MSF server
?Interface a radio signal receiver to a single board computer.
?Develop software to decode the radio time signals to provide timestamps.",12,,
Student Proposal,"Mobile App ? Uni Essentials
An app which has your UNI ID as a QR Code/barcode which allows you access though the barriers if the student forgets their ID Cards. App will also contain information such as students Personal Tutor, Link to their Uni emails, class times and abbesses form.",12,,
Student Proposal,"Sentiment analysis and machine learning
The overall aim is to use sentiment analysis to find out how the popularity of the fanbase of an athlete in sport is outputted to the success in the career.",12,,
?Project/Supervisor Allocation?: a platform to assist students choosing projects ,"This project is about to?create an IT system to enable students?communicate with supervisors and?choose the topic of their final year project.?At the moment, the?centre?publishes the project?ideas and associated supervisors in a shared OneDrive spreadsheet.?The spreadsheet?is updated by the admin manually.?You are designing/developing?an?IT system to make the whole process automatically.??This project is?PROGRAMMING FOCUSED.?Ideally, you should have?STRONG PROGRAMMING SKILLS?and knowledge of either web development or mobile development.?You should also have the experience with?database/cloud-based storage?or be self-motivated and ready to learn.",12,,
?Crime Map Plus?: an enhanced version of police crime map.,This project is about to design and develop?enhance web page base on the police crime map (https://www.police.uk/lancashire/C30/crime/).?The current crime map can only show a given type of crimes?in a given?map. The enhanced map will be able to show multi-type of crimes and within a chosen period.??All?Crime?data?will be available from the police (https://data.police.uk/) and there is an API (in C#) for your reference (https://github.com/SketchingDev/PoliceUK.NET). The project requires both knowledge in?WEB DESIGN AND PROGRAMMING?(Intermediate).?This project will need to?learn making use of different web APIs/tools?(e.g. Google map)?to ease the?web development.?,12,,
?Know your postcode better?: analysis of police crime data,"This project is about to explore the crimes' association with postcodes and etc. from the public available police crime data (https://data.police.uk/). There is an API (in C#) to get start with (https://github.com/SketchingDev/PoliceUK.NET) and it's very easy to write your own parser. This project is ANALYTICS FOCUSED but the tutor support on analytic methods. However, you should have STRONG PROGRAMMING SKILLS to implement the chose methods or to explore 3rd party libraries. ",12,,
Student Proposal,"Air Quality Monitoring System
Create long range sensors using existing technology (Lora)
?	 Map and analyse data received
?	 Create app or software to display generated report and/or current pollution levels",13,,
?GAPP ? Graduate+ App? ? an application for Graduate+ profiles,"Students at BCU are encouraged to create a Graduate+ profile and maintain it throughout their university life. For more details on Grad+ (https://graduateplus.bcu.ac.uk/what-is-it). This project is about developing an application which has 5-10 features related to creating and maintaining a Graduate+ profile. At the moment, maintaining a Graduate+ profile has to be done through the website. Creating a standalone software of some of the features will pave the way to creating a mobile application for Graduate+ to make it easier and more appealing to students. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS in any language where you are comfortable to create GRAPHICAL USER INTERFACES. You can choose which features to implement but they need to be related to each other so that you can demonstrate an artefact at the end of your project.",13,,
?Micro-Decisions? ? an application to help in designing microservices ,"Microservices became a new trend in developing software recently. For more details on microservice (https://martinfowler.com/articles/microservices.html). They are similar to service-oriented architectures. Despite the trend, designing microservices is an open research area. In this project, you will be given some formulas by the supervisor which help decide which microservice design has more monetary value to it. You will then develop an application that takes the input required for these formulas, does the calculations and produces a suggestion to the developer based on the calculated numbers. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS in any language where you are comfortable to create GRAPHICAL USER INTERFACES. This project will need some research on microservices and architectural design decision-making (https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=5177) to understand the context of the application. ",13,,
?Microservices quality catalogue? ? a literature review on microservice quality,"Microservices became a new trend in developing software recently. For more details on microservices (https://martinfowler.com/articles/microservices.html). They are similar to service-oriented architectures. Despite the trend, the number of academic papers on microservices is still relatively little so the area is not mature. In this project, you will contribute to the microservice research community by creating a literature review on microservices. In particular, you will look for and classify academic papers related to: 1) qualities that are most important to microservice design and 2) metrics that are used to measure these qualities. It is up to you how to classify the papers you obtain but you have to produce statistical results and infer some future research directions from them. You are also required to produce a simple graphical user interface which displays the statistical results in different modes (e.g. based on year/research question?etc). This project is RESEARCH FOCUSED. However, you should have INTERMEDIATE PROGRAMMING SKILLS in any language where you are comfortable to create GRAPHICAL USER INTERFACES. For a good starting point on what the structure of the review would be please refer to (https://onlinelibrary.wiley.com/doi/10.1002/spe.2869). Depending on your results, your review could actually be published in a conference or journal with you being the first author. ",13,,
?DataMatch? ? a software to match student records in different databases,"Currently, BCU student marks are recorded in different places as separate Excel sheets. Usually, one Excel sheet is maintained by the module leader and the other(s) is maintained by the course admin team. This spread of data creates a lot of issues because the number of students do not match or the marks for the same student are different across the sheets. In this project, you will create an application that takes two CSV files containing student records and it makes sure all the information in both files match. If there are any mismatches, the application has to output detailed errors to the relevant module/course admin teams. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of Java. You should also be ready to learn some data analysis if necessary in order to understand the fields given to you in the files. ",13,,
?Micro-model? ? an application for modelling microservices ,"Microservices became a new trend in developing software recently. For more details on microservices (https://martinfowler.com/articles/microservices.html). They are similar to service-oriented architectures. A common way to model microservices is using domain-driven design concepts (a good place to understand more about them is this video: https://www.infoq.com/presentations/ddd-microservices-2016/). In this project, you will create an application which allows developers to click or drag-and-drop buttons in order to create microservice models similar to the one shown in the video. This is similar to making a tool for creating UML diagrams but this one is specifically for microservices. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS particularly in GRAPHICAL LIBRARIES. This project will also require some background reading on domain-driven design and microservices.",13,,
?FileMatch? ? an application to alert for similarities in documents,"Currently, BCU staff in different schools/centres use SharePoint to share documents together. However, some duplications occur some times with the same information being sharing across different files. This can create communication gaps and lead to out of date sources of information. In this project, you will create an application that continually compares the content of tuple (i.e. 2 or more) documents for similarities. It is up to the owner of these documents after that to merge these files or not. This project is PROGRAMMING FOCUSED. Ideally, you should have STRONG PROGRAMMING SKILLS and knowledge of Java. You should also be ready to learn some parsing if necessary in order to understand how to look for multiple occurrences of keywords",13,,
Satellite image segmentation framework ,"Satellite images have enormous potential for qualitative land use analysis. Image segmentation is a vital part of Satellite image analysis. Image segmentation is a procedure for extracting the region of interest (ROI) through an automatic process. It partitions a digital image into multiple meaningful segments that is easier to understand and analyze. There are several image segmentation methods that have been used for Satellite image analysis. In this project students are requested to propose a framework for segmenting Satellite images into meaningful regions, each of which corresponds to some land cover type. Students will use an appropriate segmentation method based on the goal of the study and image characteristics. Students will select a publicly available real-life Satellite imaging dataset. Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source option 1: non-public data, available with supervisor upon request
Data source option 2: public data, available at 
https://www.kaggle.com/tpapp157/terrainimagepairs
https://archive.ics.uci.edu/ml/datasets.php",15,,
Computer-aided diagnosis system with deep learning framework,"Image classification is a fundamental problem of computer vision and pattern recognition. Deep learning has evolved to become the backbone of most computer vision algorithms, including image classification. It has already been embedded in number of fields with impressive success. The healthcare industry has enormous amounts of medical imaging data at their disposal. In this project students will leverage image processing tools and deep learning techniques to create a small-scale computer-aided diagnosis system. The system will automatically analyze a medical image and provide a possible diagnosis of certain diseases (e.g. in a MRI scan cancer or non-cancer). Students will select a publicly available real-life medical imaging dataset in a certain medical field (pathology, radiology etc..). Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source option 1: non-public data, available with supervisor upon request
Data source option 2: public data, available at 
https://www.kaggle.com/datasets
https://archive.ics.uci.edu/ml/datasets.php",15,,
Medical image segmentation framework ,"Medical images have made a great impact on medicine, diagnosis, and treatment. Image segmentation is a vital part of medical image processing. Image segmentation is a procedure for extracting the region of interest (ROI) through an automatic process. There are several image segmentation methods that have been used for diagnosis and medical analysis purposes. In this project students are requested to propose a framework for segmenting medical images into meaningful regions (e.g. tissues and body organs). Students will use an appropriate segmentation method based on the goal of the study, image type, and image characteristics. Students will select a publicly available real-life medical imaging dataset in a certain medical field (pathology, radiology etc..). Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source option 1: non-public data, available with supervisor upon request
Data source option 2: public data, available at 
https://www.kaggle.com/datasets
https://archive.ics.uci.edu/ml/datasets.php",15,,
Preventative care application for disease prediction,"Data mining is the process of analyzing large data sets to identify patterns and to establish relationships to solve knowledge discovery problems. The application of data mining methods has massively improved the healthcare industry and rapidly transformed the face of global healthcare. It helped health care providers to deliver speedy and better healthcare services and it contributed to reducing the workload on medical staff to a significant extent. In this project students will leverage data mining tools to analyse a large-scale health care dataset and mine interesting knowledge from it. Students will also develop a preventative care application that can predict the possibilities of epidemics (such as flu, malaria, etc.) in a certain place. Students will select publicly available health care dataset. Various predication tools and feature engineering techniques will be examined and compared to obtain the best prediction performance. Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source option 1: non-public data, available with supervisor upon request
Data source option 2: public data, available at 
https://www.kaggle.com/datasets
https://archive.ics.uci.edu/ml/datasets.php",15,,
Detecting Cyberattacks in Industrial Control Systems Using Machine learning techniques,"Nowadays Industrial Control Systems are being used extensively in most of the industries especially in infrastructures unit such as power plants and national grids, nuclear plants, oil and gas industry and many more. These systems have been secured through physical isolation from other networks for years. However, by development of information technology and the growing need of broader connectivity, it is inevitable to follow the stream. Industrial Control Systems have been connected to world wide web and security was promised by applying firewalls, rules and access permission in addition to antiviruses and Intrusion Detection Systems that were performing based on whitelisting and blacklisting of the known attacks. Considering variety of malwares and malicious software that were easily accessible, the urge of updating the Intrusion Detection Systems to detect any malicious attack to the network of these critical systems increased. Machine Learning applications were introduced to the security solutions of devices such as Intrusion detection systems and anomaly detection systems and some manufacturers of the network security devices have start introducing the new proposed techniques of Machine Learning to their products and called them intelligent, thanks to the learning capability of Machine Learning algorithms. This project aims to develop a model that can detect cyberattacks on industrial control systems (ICS) using Machine learning techniques, specifically, deep neural networks. The project can be performed on a number of publicly available datasets. Various predication tools and feature engineering techniques will be examined and compared to obtain the best prediction performance. Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source: public data, available at 
https://sites.google.com/a/uah.edu/tommy-morris-uah/ics-data-sets",15,,
Detecting Cyberattacks in Industrial Control Systems Using Machine learning techniques,"Nowadays Industrial Control Systems are being used extensively in most of the industries especially in infrastructures unit such as power plants and national grids, nuclear plants, oil and gas industry and many more. These systems have been secured through physical isolation from other networks for years. However, by development of information technology and the growing need of broader connectivity, it is inevitable to follow the stream. Industrial Control Systems have been connected to world wide web and security was promised by applying firewalls, rules and access permission in addition to antiviruses and Intrusion Detection Systems that were performing based on whitelisting and blacklisting of the known attacks. Considering variety of malwares and malicious software that were easily accessible, the urge of updating the Intrusion Detection Systems to detect any malicious attack to the network of these critical systems increased. Machine Learning applications were introduced to the security solutions of devices such as Intrusion detection systems and anomaly detection systems and some manufacturers of the network security devices have start introducing the new proposed techniques of Machine Learning to their products and called them intelligent, thanks to the learning capability of Machine Learning algorithms. This project aims to develop a model that can detect cyberattacks on industrial control systems (ICS) using Machine learning techniques, specifically, deep neural networks. The project can be performed on a number of publicly available datasets. Various predication tools and feature engineering techniques will be examined and compared to obtain the best prediction performance. Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. 

Data source: public data, available at 
https://sites.google.com/a/uah.edu/tommy-morris-uah/ics-data-sets",15,,
Predictive modelling in sports,"There is currently a phenomenal amount of money involved within football, especially in the English Premier League and football betting. Premier League teams would benefit from a predictive application that could help make strategical decisions prior to a match and in turn, improve performance to ensure they continue competing in the Premier League and reaping the financial benefits. Equally, football gamblers would gain from any such application which could assist gambling decisions and increase profitability from bets placed. Predictive modelling in sports, and in particular, the prediction of football results, is a popular research area in machine learning. This project makes use of the large amounts of historical football match data freely available online coupled with team ratings from the FIFA video game series to produce a predictive application using machine learning algorithms and techniques. Various predication tools and feature engineering techniques will be examined and compared to obtain the best prediction performance. Students will propose a simulation interface. A few assumptions will be made to simplify the system so that the system should be implemented and tested. ",15,,
Mobile Application: Digital Restaurant menu System ,"This project is about improving diners? experience at a restaurant, you are tasked to provide an integral system to assist the restaurant management that allows customers to place orders on their own phones with or without the need of waiters? assistance. This will minimize the wait for the meal serving.

Interactive menu experience for customers ? Key features
?	A simple ordering system, tap to add to order!
?	Connection to waiter to request presence at the table at any time
?	The restaurant menu divided into sections for easy browsing
?	Suggested recommended dishes to go with selections
?	Ability to filer menu to suit dietary/ allergy requirements
?	Continued access to waiters? knowledge & recommendations
?	Increased speed of service",16,,
Develop a Covid-19 contact tracing app ,"As part of the University pandemic response, this project is about providing an effective notification to students who may have been in contact with a person with coronavirus in the University 

The system would track and trace students in the University so an effective notification can function; alerting the student to keep the spread of coronavirus down.

<<The system will require people who have had a positive test for COVID-19 to trigger the contact and trace system into operation; protecting people and slowing the spread of the disease.>>",16,,
Automated marking for a Python assignment,"This project requires you to automate testing utilising a concept of an ?Interface? ? which compels students to write a, more formal, class about the behaviour it must provide (promise). There will be some elements of data analysis to evaluate a mark.

You will utilise the Banking assignment, in year one, as the case study. ",16,,
Automated Module review and analysis,"This project focuses on raising student satisfaction within the Computer Science course.

The system will survey/encourage students to reflect on their learning on a weekly basis, identifying their difficulties or confusion regarding the module. 

The auditable evidence will allow management to target resources in those areas that are perceived to be low satisfaction and high importance.",16,,
Stock price prediction ,"Markov Chains allow the prediction of a future state based on the characteristics of a present state.

This project focuses on Markov Chains and Time Series to predict price movements of stocks, 
A good understanding of matrices (maths), data structures and python are paramount.
Student are encouraged to study the following articles before making any commitment. 


http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.866.8019&rep=rep1&type=pdf
https://search.proquest.com/docview/2071305856?pq-origsite=gscholar&fromopenview=true",16,,
Live Poll,"Live poll
This project requires you to develop a live polling app to get instant feedback from students.

The system should allow staff to prepare polls in advance or create new polls on the fly; asking participants on their opinion and allow them to vote from their mobile device; with the results shown live on tutor screen. 
",16,,
Green IT Audit,"Green IT concerns either reducing the carbon footprint of  IT, or using information systems to improve sustainability, for example in the use of energy.This project would apply Molla and Cooper?s ?G-Readiness Framework to a specific company and make recommendations for improving the company?s carbon  footprint. An expert system would be developed to apply the framework.

",17,,
Applyin Web Scraping  to Assess the Impact of Organisational Culture on the Adoption of Green IT,"Green IT concerns either reducing the carbon footprint of  IT, or using information systems to improve sustainability, for example in the use of energy.This project would involve using a web crawler such as Scrapy to analyse company websites to identify organisational culture and attitude to sustainability. The  culture results would be mapped on to Cameron and Quinn's Competing Values Framework. A statistical tool such as R or SPSS would be used to correlate culture with greenness. Campbell and Bhogal (2019) would provide a starting point http://www.iariajournals.org/systems_and_measurements/sysmea_v12_n12_2019_paged.pdf.
",17,,
A Comparison of the Impact of Organisational Culture on the Adoption of Green IT in the UK and China,"Green IT concerns either reducing the carbon footprint of  IT, or using information systems to improve sustainability, for example in the use of energy.This project would involve using the Organisational Culture Assessment Instrument associated with Cameron and Quinns's Competing Values Framework to diagnose company culture in China. A survey would be used to assess greenness. The  A statistical tool such as R or SPSS would be used to correlate culture with greenness. Campbell and Bhogal (2019) would provide a starting point http://www.iariajournals.org/systems_and_measurements/sysmea_v12_n12_2019_paged.pdf. The results would be used to inform the development of an app to help companies to be greener in their use of IT.
",17,,
A Comparison of the Impact of Organisational Culture on the Adoption of Green IT in the UK and India,"Green IT concerns either reducing the carbon footprint of  IT, or using information systems to improve sustainability, for example in the use of energy.This project would involve using the Organisational Culture Assessment Instrument associated with Cameron and Quinns's Competing Values Framework to diagnose company culture in India. A survey would be used to assess greenness. The  A statistical tool such as R or SPSS would be used to correlate culture with greenness. Campbell and Bhogal (2019) would provide a starting point http://www.iariajournals.org/systems_and_measurements/sysmea_v12_n12_2019_paged.pdf. The results would be used to inform the development of an app to help companies to be greener in their use of IT.
",17,,
Impact of Social Media on Blockchain prices.,"This project would explore the impact of comments in social media such as Twitter on the price of Blockchain.  The key field in which this would be located is Sentiment Analysis/Opinion Mining. Possible tools include the  Twitter API and the web crawler, Scrapy. The sentiment about Blockchain would be correlated with Blockchain prices using a statistical analysis tool such as SPSS or R.",17,,
Using Sentiment Analysis to Analyse the Attitude to a Product on Social Media.,"This project would be located in the field of Sentiment Analysis/Opinion Mining. It would involve choosing a major product such as an iPhone 11 or a Tesla Model 3. A tool such as the Twitter API or the webcrawler, Scrapy, would be used to assist in identifying comments about the product, which would then be analysed for positivity or negativity.",17,,
Application of Natural Language Processing to Sentiment Analysis.,"Sentiment Analysis/Opinion Mining often involves little more than fairly simple pattern spotting of positive or negative words, with little awareness of the semantics (meaning) or syntax (grammar) of the language used. This project would involve applying techniques from AI Natural Language Processing/Computational Linguistics to ensure that, in analysing sentiment, account is taken of the underlying syntax and semantics of the language. It would be done for a highlly constrained subset of language. A tool such as the Twitter API or the webcrawler, Scrapy, would be used.",17,,
Profiling manufacturing companies using heterogeneous information networks ,"This project will be in collaboration with the Made in Midlands Group - a company that organises networking events and services for the manufacturing sector in Midlands and Yorkshire, with the ambition to scale their business across the UK. You will play an important role in this growth by understanding the needs of manufacturing companies (e.g. through interviews and secondary research methods) and developing tools for capturing their rich descriptive, structured, behavioural and spatiotemporal information to allow its further automatic analysis. The project requires understanding of primary and secondary research methods and willingness to learn NoSQL data stores and graph-based methods.",18,,
 Developing a recommender system?for matching businesses?based on network clustering,"This project will be in collaboration with the Made in Midlands Group (MIM) - a company that organises networking events and services for the manufacturing sector in Midlands and Yorkshire, with the ambition to scale their business across the UK. You will play an important role in this growth by developing a system for matching businesses and recommending them networking opportunities based on the publicly available information. The project requires Python programming skills and willingness to learn NoSQL data stores and network clustering methods.",18,,
Developing a method for link prediction in heterogeneous information networks,"Heterogeneous information networks (HINs) refer to logical networks involving entities of multiple types and their multiple relations. HINs are widely used for modelling real-world systems with rich features and intricate patterns. Link prediction in such networks is an interesting research question due to its methodological and practical implication in the business field. This project will involve researching existing methods for link prediction in HINs and finding ways for improving their performance on publicly available benchmarks such as WordNet, MovieLens and DBLP. The project requires Python programming skills and understanding the main machine learning concepts and deep learning architectures, all of which will be taught in the 1st semester",18,,
Developing a method for detecting movement quality. Many recent applications rely on motion and gesture recognition,"Examples include remote patient monitoring and rehabilitation, sports performance analysis, biometric authentication, emotion analysis, performing arts, gaming and virtual reality. In such applications, establishing not only what is being performed (i.e. the type of movement such as arm-raising) but also how (i.e. the quality of movement such as slow arm-raising) is required. This project will involve developing a taxonomy for quantifying movement quality and a deep learning model for automatic movement quality recognition. The project requires Python programming skills and understanding the main machine learning concepts and deep learning architectures, all of which will be taught in the 1st semester.",18,,
Investigating the connection between social mimicry and empathy,"This project is in collaboration with the Faculty of Health, Education and Life Sciences and will involve analysing data related to facial expressions and Empathy Quotient scores collected from 85 subjects in attempt to understand how different people connect with others during social interactions.  The project requires Python programming skills and understanding basic statistical analysis and data visualisation techniques.",18,,
Maximizing Customer Efficiency Through the Use of Digitalization of Restaurant Processes,"Description: 
Due to COVID-19, social distancing is very important in this new normal. To help promote social distancing between employees and customers, I will be creating a website application that enables customers to make their orders by scanning a QR code that will be on their allocated table. From the website app, they will also be able to request the employee?s attention to their table and request the bill for their total order. Customers can also use the website to book their table in advance. There will also be a QR code outside the restaurant for those who are just walking in, which when scanned, will take them to a virtual queue so they won?t have to wait in the lobby near other customers also waiting. This website will make the customer?s experience easier for them and puts the customer?s health and safety first. 

 

Restaurant Website Application ? Key Features: 

Simple ordering system, tap the items you want and press order. 
Menu divided up into categories for easier navigation on the website. 
Function to filter menu to suit customers? dietary/allergy requirements. 
Ability to request waiter?s attention and for the total bill for their order. 
Book tables in advance. 
Virtual Queue; customers won?t have to wait in the lobby with others. 
Increased speed of service. 
Promotes social distancing. ",18,,
